date,post_type,likes,comments,shares
2023-03-16,interactive,729,431,104
2023-09-26,promotional,106,34,53
2023-07-24,interactive,776,325,91
2023-02-19,interactive,471,9,64
2023-09-25,promotional,86,421,117
2023-08-19,promotional,832,328,16
2023-11-03,educational,242,268,15
2023-07-27,educational,893,105,0
2023-03-17,promotional,855,448,200
2023-02-08,educational,24,313,163
2023-11-22,interactive,247,471,35
2023-05-05,interactive,292,70,195
2023-04-08,promotional,387,294,22
2023-12-28,educational,645,128,69
2023-09-14,interactive,894,207,109
2023-12-30,promotional,258,195,195
2023-08-03,interactive,532,417,7
2023-02-17,educational,24,105,187
2023-12-25,interactive,109,71,6
2023-10-13,educational,620,12,89
2023-07-20,interactive,28,252,30
2023-05-31,educational,522,407,0
2023-02-08,interactive,620,153,176
2023-08-15,promotional,956,426,16
2023-02-05,interactive,255,339,158
2023-06-24,interactive,670,93,64
2023-03-23,educational,452,426,12
2023-02-06,interactive,847,153,198
2023-06-24,promotional,83,442,149
2023-05-05,interactive,199,152,71
2023-01-19,promotional,277,49,51
2023-10-29,interactive,631,253,1
2023-02-28,promotional,604,358,140
2023-03-23,interactive,776,305,179
2023-09-12,promotional,386,457,3
2023-06-10,promotional,812,132,7
2023-09-04,educational,303,13,172
2023-04-16,interactive,559,216,92
2023-08-26,interactive,773,74,164
2023-07-07,promotional,447,353,165
2023-02-09,educational,952,208,149
2023-11-16,promotional,908,416,174
2023-06-21,promotional,96,456,48
2023-08-06,educational,412,341,5
2023-12-30,promotional,57,425,153
2023-10-28,educational,785,127,4
2023-05-28,educational,739,450,41
2023-06-28,promotional,276,71,19
2023-10-12,promotional,867,493,163
2023-04-14,promotional,384,58,135
2023-07-04,interactive,325,64,53
2023-02-17,educational,507,26,164
2023-03-14,interactive,737,410,11
2023-07-18,interactive,147,447,133
2023-10-06,interactive,11,149,48
2023-06-12,interactive,977,196,169
2023-12-15,promotional,714,151,57
2023-03-04,promotional,503,180,91
2023-01-31,promotional,85,106,151
2023-06-04,promotional,859,50,159
2023-01-12,promotional,718,76,62
2023-12-10,educational,58,236,94
2023-02-01,promotional,393,143,48
2023-05-15,interactive,530,242,81
2023-03-07,educational,147,224,10
2023-05-28,promotional,428,282,159
2023-10-10,promotional,961,186,160
2023-06-19,interactive,664,79,138
2023-06-11,promotional,850,294,163
2023-09-29,educational,218,264,2
2023-03-06,interactive,524,276,100
2023-04-23,educational,342,212,104
2023-06-19,interactive,192,234,52
2023-11-29,interactive,994,338,30
2023-06-19,interactive,141,104,152
2023-10-13,promotional,331,313,150
2023-10-30,promotional,529,420,81
2023-08-07,educational,112,156,197
2023-03-28,educational,859,244,170
2023-08-02,promotional,803,67,127
2023-04-27,interactive,991,239,108
2023-03-12,educational,626,295,164
2023-12-20,educational,69,492,103
2023-06-07,interactive,812,322,38
2023-09-20,promotional,71,253,156
2023-09-25,interactive,433,109,73
2023-01-22,educational,888,219,183
2023-10-25,educational,104,440,193
2023-01-14,promotional,52,413,106
2023-11-20,promotional,16,219,174
2023-03-04,interactive,415,270,67
2023-03-09,educational,208,243,37
2023-04-21,educational,87,129,27
2023-03-14,educational,927,227,184
2023-10-18,promotional,738,363,39
2023-01-17,promotional,858,254,150
2023-07-17,promotional,150,131,187
2023-12-02,educational,758,52,117
2023-06-18,educational,622,458,76
2023-01-11,educational,552,289,127
